intervention_id,customer_id,intervention_date,intervention_type,channel_used,outcome,cost_incurred,follow_up_date
IVN-00249-266,SME-2024-00249,2026-03-14,Retention Offer,WhatsApp,Partial,100000,2026-04-13
IVN-00249-267,SME-2024-00249,2026-01-14,Discount Package,Visit,Accepted,250000,2026-02-08
IVN-00249-268,SME-2024-00249,2026-02-05,Retention Offer,WhatsApp,No Response,250000,2026-03-06
IVN-00250-269,SME-2024-00250,2026-04-15,Loyalty Reward,Phone Call,No Response,500000,2026-05-12
IVN-00252-270,SME-2024-00252,2025-12-24,Loyalty Reward,WhatsApp,Accepted,100000,2026-01-09
IVN-00253-271,SME-2024-00253,2025-08-05,Retention Offer,WhatsApp,Declined,100000,2025-09-01
IVN-00254-272,SME-2024-00254,2026-02-17,Discount Package,Visit,Declined,500000,2026-02-27
IVN-00255-273,SME-2024-00255,2025-07-14,Retention Offer,Phone Call,Partial,100000,2025-08-02
IVN-00255-274,SME-2024-00255,2025-08-23,Executive Check-in,Visit,Accepted,250000,2025-09-17
IVN-00255-275,SME-2024-00255,2026-02-05,Retention Offer,WhatsApp,Partial,500000,2026-02-25
IVN-00256-276,SME-2024-00256,2026-03-19,Win-back Call,Visit,Accepted,500000,2026-04-04
IVN-00257-277,SME-2024-00257,2025-10-05,Discount Package,WhatsApp,Declined,250000,2025-10-19
IVN-00257-278,SME-2024-00257,2026-06-14,Executive Check-in,Phone Call,Declined,250000,2026-06-22
IVN-00258-279,SME-2024-00258,2026-04-23,Discount Package,Visit,No Response,250000,2026-05-13
IVN-00260-280,SME-2024-00260,2026-05-04,Win-back Call,Email,Declined,500000,2026-06-01
IVN-00262-281,SME-2024-00262,2026-01-17,Service Upgrade Offer,Visit,Accepted,100000,2026-02-01
IVN-00262-282,SME-2024-00262,2025-08-14,Retention Offer,Visit,Accepted,500000,2025-08-31
IVN-00263-283,SME-2024-00263,2026-06-16,Loyalty Reward,WhatsApp,Accepted,100000,2026-06-30
IVN-00263-284,SME-2024-00263,2026-04-03,Win-back Call,Email,Declined,500000,2026-04-11
IVN-00263-285,SME-2024-00263,2025-07-08,Executive Check-in,Visit,Accepted,100000,2025-07-21
IVN-00264-286,SME-2024-00264,2025-08-04,Retention Offer,Visit,No Response,500000,2025-08-25
IVN-00264-287,SME-2024-00264,2025-09-04,Discount Package,Visit,Declined,250000,2025-09-27
IVN-00264-288,SME-2024-00264,2025-11-06,Executive Check-in,Email,No Response,100000,2025-11-18
IVN-00266-289,SME-2024-00266,2025-12-07,Discount Package,Visit,Accepted,500000,2025-12-31
IVN-00267-290,SME-2024-00267,2025-08-20,Retention Offer,Visit,Partial,100000,2025-09-01
IVN-00267-291,SME-2024-00267,2025-09-13,Retention Offer,Visit,No Response,500000,2025-10-05
IVN-00268-292,SME-2024-00268,2026-05-23,Service Upgrade Offer,WhatsApp,Partial,250000,2026-06-08
IVN-00269-293,SME-2024-00269,2025-11-22,Win-back Call,Phone Call,Accepted,500000,2025-12-10
IVN-00269-294,SME-2024-00269,2026-06-10,Discount Package,WhatsApp,Declined,500000,2026-06-30
IVN-00270-295,SME-2024-00270,2026-06-09,Retention Offer,Phone Call,Accepted,250000,2026-06-16
IVN-00271-296,SME-2024-00271,2025-10-12,Service Upgrade Offer,Email,Partial,100000,2025-11-05
IVN-00271-297,SME-2024-00271,2026-05-14,Service Upgrade Offer,Visit,Partial,100000,2026-05-23
IVN-00272-298,SME-2024-00272,2026-06-21,Executive Check-in,Visit,Partial,500000,2026-07-11
IVN-00272-299,SME-2024-00272,2026-01-15,Service Upgrade Offer,WhatsApp,Accepted,250000,2026-02-02
IVN-00274-300,SME-2024-00274,2026-03-02,Service Upgrade Offer,Phone Call,Accepted,500000,2026-03-25
IVN-00275-301,SME-2024-00275,2026-05-04,Win-back Call,Email,Accepted,100000,2026-05-26
IVN-00277-302,SME-2024-00277,2025-09-23,Win-back Call,Phone Call,Accepted,500000,2025-10-18
IVN-00277-303,SME-2024-00277,2026-04-11,Loyalty Reward,Phone Call,Accepted,250000,2026-05-03
IVN-00278-304,SME-2024-00278,2025-10-21,Win-back Call,Visit,Accepted,250000,2025-11-14
IVN-00278-305,SME-2024-00278,2025-11-08,Executive Check-in,Email,Accepted,500000,2025-12-06
IVN-00281-306,SME-2024-00281,2025-08-10,Service Upgrade Offer,WhatsApp,No Response,250000,2025-08-31
IVN-00282-307,SME-2024-00282,2026-01-07,Discount Package,Phone Call,Accepted,500000,2026-01-21
IVN-00282-308,SME-2024-00282,2026-03-01,Win-back Call,Visit,Declined,500000,2026-03-12
IVN-00284-309,SME-2024-00284,2025-12-21,Discount Package,WhatsApp,Accepted,100000,2025-12-28
IVN-00284-310,SME-2024-00284,2026-03-03,Retention Offer,Visit,No Response,500000,2026-03-20
IVN-00285-311,SME-2024-00285,2026-01-02,Service Upgrade Offer,Email,Declined,500000,2026-01-17
IVN-00285-312,SME-2024-00285,2025-08-15,Retention Offer,WhatsApp,No Response,250000,2025-09-07
IVN-00286-313,SME-2024-00286,2025-10-11,Executive Check-in,WhatsApp,Accepted,250000,2025-10-31
IVN-00287-314,SME-2024-00287,2026-05-04,Service Upgrade Offer,WhatsApp,Accepted,500000,2026-05-23
IVN-00287-315,SME-2024-00287,2025-11-14,Service Upgrade Offer,Phone Call,Declined,100000,2025-11-23
IVN-00287-316,SME-2024-00287,2026-06-02,Loyalty Reward,Email,Accepted,250000,2026-07-02
IVN-00290-317,SME-2024-00290,2026-01-17,Executive Check-in,WhatsApp,Accepted,500000,2026-01-25
IVN-00290-318,SME-2024-00290,2026-01-01,Loyalty Reward,Visit,Partial,250000,2026-01-18
IVN-00291-319,SME-2024-00291,2026-06-19,Loyalty Reward,Visit,Accepted,500000,2026-07-01
IVN-00291-320,SME-2024-00291,2026-01-21,Loyalty Reward,Phone Call,No Response,100000,2026-02-17
IVN-00293-321,SME-2024-00293,2026-02-09,Service Upgrade Offer,Phone Call,Accepted,500000,2026-02-27
IVN-00294-322,SME-2024-00294,2026-02-22,Discount Package,WhatsApp,Accepted,250000,2026-03-20
IVN-00295-323,SME-2024-00295,2026-01-19,Loyalty Reward,WhatsApp,No Response,250000,2026-02-14
IVN-00296-324,SME-2024-00296,2026-06-15,Retention Offer,WhatsApp,Accepted,500000,2026-07-12
IVN-00297-325,SME-2024-00297,2025-09-01,Loyalty Reward,WhatsApp,Accepted,500000,2025-09-08
IVN-00298-326,SME-2024-00298,2025-08-10,Win-back Call,Phone Call,Accepted,100000,2025-09-02
IVN-00299-327,SME-2024-00299,2026-04-15,Win-back Call,Phone Call,No Response,500000,2026-05-03
IVN-00300-328,SME-2024-00300,2026-02-19,Executive Check-in,WhatsApp,Declined,500000,2026-03-14
IVN-00301-329,SME-2024-00301,2026-06-20,Discount Package,WhatsApp,Accepted,500000,2026-06-28
IVN-00301-330,SME-2024-00301,2026-04-12,Executive Check-in,Email,Accepted,250000,2026-04-25
IVN-00302-331,SME-2024-00302,2026-03-04,Retention Offer,Email,No Response,500000,2026-03-18
IVN-00302-332,SME-2024-00302,2026-04-14,Executive Check-in,WhatsApp,Declined,250000,2026-04-26
IVN-00304-333,SME-2024-00304,2025-07-04,Retention Offer,Visit,No Response,100000,2025-07-18
IVN-00304-334,SME-2024-00304,2025-07-09,Service Upgrade Offer,Email,Accepted,100000,2025-08-04
IVN-00304-335,SME-2024-00304,2026-01-20,Executive Check-in,Phone Call,Accepted,250000,2026-02-11
IVN-00305-336,SME-2024-00305,2026-03-23,Discount Package,WhatsApp,Partial,250000,2026-04-13
IVN-00307-337,SME-2024-00307,2025-07-16,Win-back Call,WhatsApp,Accepted,100000,2025-08-04
IVN-00308-338,SME-2024-00308,2025-09-03,Discount Package,Phone Call,Partial,500000,2025-09-28
IVN-00308-339,SME-2024-00308,2025-08-24,Executive Check-in,Email,Declined,250000,2025-09-09
IVN-00309-340,SME-2024-00309,2025-11-11,Win-back Call,Phone Call,Partial,500000,2025-12-09
IVN-00309-341,SME-2024-00309,2026-02-13,Retention Offer,WhatsApp,Partial,100000,2026-03-02
IVN-00310-342,SME-2024-00310,2025-11-03,Service Upgrade Offer,Phone Call,Accepted,250000,2025-11-24
IVN-00310-343,SME-2024-00310,2025-09-07,Retention Offer,Phone Call,No Response,250000,2025-09-20
IVN-00310-344,SME-2024-00310,2026-03-20,Discount Package,Visit,Partial,250000,2026-04-09
IVN-00311-345,SME-2024-00311,2025-10-21,Service Upgrade Offer,Visit,Accepted,250000,2025-11-03
IVN-00311-346,SME-2024-00311,2025-07-11,Service Upgrade Offer,WhatsApp,Partial,500000,2025-07-25
IVN-00311-347,SME-2024-00311,2025-07-08,Discount Package,Visit,No Response,100000,2025-07-17
IVN-00313-348,SME-2024-00313,2026-06-19,Executive Check-in,Email,Accepted,250000,2026-07-03
IVN-00317-349,SME-2024-00317,2025-09-20,Discount Package,Phone Call,Declined,500000,2025-09-27
IVN-00319-350,SME-2024-00319,2025-07-03,Loyalty Reward,Phone Call,Accepted,250000,2025-07-17
IVN-00319-351,SME-2024-00319,2025-10-22,Win-back Call,WhatsApp,Declined,100000,2025-11-17
IVN-00320-352,SME-2024-00320,2026-03-03,Retention Offer,WhatsApp,Partial,100000,2026-03-23
IVN-00324-353,SME-2024-00324,2026-05-05,Service Upgrade Offer,WhatsApp,Declined,500000,2026-05-25
IVN-00327-354,SME-2024-00327,2025-10-06,Service Upgrade Offer,Phone Call,Accepted,100000,2025-10-30
IVN-00329-355,SME-2024-00329,2025-10-18,Win-back Call,Visit,Accepted,100000,2025-10-28
IVN-00330-356,SME-2024-00330,2025-08-14,Executive Check-in,Email,No Response,100000,2025-09-04
IVN-00331-357,SME-2024-00331,2025-12-18,Executive Check-in,Email,Accepted,100000,2026-01-01
IVN-00334-358,SME-2024-00334,2026-03-04,Retention Offer,Phone Call,Accepted,250000,2026-03-14
IVN-00334-359,SME-2024-00334,2026-05-20,Loyalty Reward,Email,No Response,100000,2026-06-05
IVN-00335-360,SME-2024-00335,2025-11-22,Retention Offer,Phone Call,Accepted,100000,2025-12-17
IVN-00335-361,SME-2024-00335,2025-10-12,Win-back Call,WhatsApp,Partial,500000,2025-10-21
IVN-00337-362,SME-2024-00337,2025-10-21,Loyalty Reward,Visit,Declined,100000,2025-11-03
IVN-00337-363,SME-2024-00337,2026-05-05,Executive Check-in,Visit,Accepted,500000,2026-05-28
IVN-00338-364,SME-2024-00338,2025-11-18,Retention Offer,Phone Call,Declined,500000,2025-11-27
IVN-00338-365,SME-2024-00338,2026-06-20,Loyalty Reward,WhatsApp,Accepted,500000,2026-07-17
IVN-00338-366,SME-2024-00338,2025-10-12,Executive Check-in,Visit,No Response,250000,2025-10-26
IVN-00338-367,SME-2024-00338,2025-08-04,Retention Offer,Visit,Accepted,250000,2025-08-15
IVN-00339-368,SME-2024-00339,2025-10-03,Discount Package,WhatsApp,Accepted,100000,2025-11-01
IVN-00339-369,SME-2024-00339,2026-02-03,Service Upgrade Offer,Phone Call,Accepted,250000,2026-02-10
IVN-00340-370,SME-2024-00340,2025-11-09,Discount Package,Email,Accepted,100000,2025-12-02
IVN-00340-371,SME-2024-00340,2026-06-12,Executive Check-in,Email,Accepted,250000,2026-06-29
IVN-00340-372,SME-2024-00340,2025-09-03,Win-back Call,Email,Accepted,500000,2025-09-11
IVN-00341-373,SME-2024-00341,2025-08-03,Retention Offer,Phone Call,No Response,100000,2025-08-16
IVN-00342-374,SME-2024-00342,2025-10-20,Loyalty Reward,Visit,Accepted,250000,2025-11-11
IVN-00343-375,SME-2024-00343,2026-05-14,Service Upgrade Offer,Visit,No Response,250000,2026-05-28
IVN-00344-376,SME-2024-00344,2025-07-03,Win-back Call,Email,Partial,500000,2025-07-23
IVN-00346-377,SME-2024-00346,2025-09-15,Executive Check-in,Visit,Accepted,100000,2025-10-01
IVN-00347-378,SME-2024-00347,2025-10-19,Service Upgrade Offer,Email,Accepted,250000,2025-11-18
IVN-00347-379,SME-2024-00347,2025-09-09,Executive Check-in,Phone Call,Accepted,500000,2025-09-27
IVN-00347-380,SME-2024-00347,2025-11-22,Executive Check-in,Visit,Accepted,250000,2025-12-15
IVN-00348-381,SME-2024-00348,2026-02-08,Executive Check-in,WhatsApp,No Response,500000,2026-02-22
IVN-00351-382,SME-2024-00351,2025-11-13,Win-back Call,Visit,Accepted,500000,2025-11-28
IVN-00353-383,SME-2024-00353,2025-12-04,Executive Check-in,Phone Call,Accepted,100000,2025-12-27
IVN-00354-384,SME-2024-00354,2025-10-21,Executive Check-in,Visit,Partial,100000,2025-11-14
IVN-00354-385,SME-2024-00354,2025-08-24,Executive Check-in,Email,Accepted,100000,2025-09-15
IVN-00355-386,SME-2024-00355,2025-12-23,Executive Check-in,Email,Accepted,100000,2026-01-02
IVN-00355-387,SME-2024-00355,2026-05-11,Loyalty Reward,WhatsApp,Partial,100000,2026-05-19
IVN-00356-388,SME-2024-00356,2025-12-01,Executive Check-in,Visit,Declined,500000,2025-12-10
IVN-00357-389,SME-2024-00357,2025-09-11,Loyalty Reward,Email,Partial,500000,2025-10-08
IVN-00359-390,SME-2024-00359,2026-06-23,Discount Package,Visit,Partial,250000,2026-07-11
IVN-00360-391,SME-2024-00360,2025-11-19,Retention Offer,WhatsApp,Accepted,250000,2025-12-14
IVN-00361-392,SME-2024-00361,2026-04-19,Win-back Call,Visit,Partial,250000,2026-05-07
IVN-00361-393,SME-2024-00361,2025-12-13,Retention Offer,Email,Accepted,500000,2025-12-28
IVN-00361-394,SME-2024-00361,2026-06-18,Executive Check-in,Email,Accepted,500000,2026-07-11
IVN-00362-395,SME-2024-00362,2025-09-03,Retention Offer,WhatsApp,Accepted,100000,2025-09-21
IVN-00362-396,SME-2024-00362,2026-06-11,Retention Offer,Phone Call,Accepted,100000,2026-07-09
IVN-00364-397,SME-2024-00364,2025-09-24,Service Upgrade Offer,Visit,Declined,250000,2025-10-02
IVN-00365-398,SME-2024-00365,2025-11-19,Discount Package,WhatsApp,Declined,250000,2025-12-05
IVN-00365-399,SME-2024-00365,2025-10-07,Retention Offer,Email,Partial,100000,2025-11-06
IVN-00366-400,SME-2024-00366,2025-10-20,Win-back Call,WhatsApp,Accepted,500000,2025-11-01
IVN-00367-401,SME-2024-00367,2025-08-21,Service Upgrade Offer,WhatsApp,No Response,500000,2025-09-11
IVN-00368-402,SME-2024-00368,2026-02-03,Discount Package,Phone Call,Accepted,100000,2026-02-10
IVN-00369-403,SME-2024-00369,2026-01-11,Retention Offer,Phone Call,Accepted,100000,2026-02-01
IVN-00369-404,SME-2024-00369,2025-10-14,Retention Offer,Email,Accepted,250000,2025-11-11
IVN-00370-405,SME-2024-00370,2025-12-23,Executive Check-in,WhatsApp,No Response,500000,2026-01-07
IVN-00370-406,SME-2024-00370,2026-02-12,Executive Check-in,Email,No Response,250000,2026-03-01
IVN-00370-407,SME-2024-00370,2025-07-05,Service Upgrade Offer,Phone Call,Accepted,100000,2025-08-04
IVN-00373-408,SME-2024-00373,2025-09-21,Retention Offer,WhatsApp,Accepted,100000,2025-10-06
IVN-00376-409,SME-2024-00376,2025-09-12,Retention Offer,Visit,Partial,100000,2025-09-22
IVN-00376-410,SME-2024-00376,2025-07-01,Retention Offer,Email,Declined,250000,2025-07-09
IVN-00376-411,SME-2024-00376,2026-03-18,Win-back Call,Phone Call,Accepted,250000,2026-04-03
IVN-00376-412,SME-2024-00376,2026-04-18,Discount Package,WhatsApp,Partial,100000,2026-05-17
IVN-00377-413,SME-2024-00377,2026-04-08,Executive Check-in,WhatsApp,Accepted,250000,2026-05-08
IVN-00378-414,SME-2024-00378,2026-03-19,Executive Check-in,Email,Accepted,100000,2026-04-03
IVN-00378-415,SME-2024-00378,2025-12-15,Discount Package,WhatsApp,Partial,500000,2026-01-12
IVN-00379-416,SME-2024-00379,2025-11-15,Retention Offer,Visit,No Response,100000,2025-12-15
IVN-00380-417,SME-2024-00380,2026-01-21,Win-back Call,WhatsApp,Accepted,500000,2026-02-03
IVN-00381-418,SME-2024-00381,2026-01-24,Service Upgrade Offer,Email,No Response,100000,2026-02-18
IVN-00382-419,SME-2024-00382,2025-11-16,Executive Check-in,Phone Call,Accepted,250000,2025-12-05
IVN-00382-420,SME-2024-00382,2025-10-17,Executive Check-in,Visit,Accepted,500000,2025-10-26
IVN-00382-421,SME-2024-00382,2025-08-09,Win-back Call,Email,Accepted,500000,2025-09-06
IVN-00384-422,SME-2024-00384,2025-09-15,Retention Offer,Phone Call,No Response,250000,2025-10-10
IVN-00384-423,SME-2024-00384,2025-07-20,Win-back Call,Phone Call,Accepted,250000,2025-07-30
IVN-00386-424,SME-2024-00386,2025-09-14,Service Upgrade Offer,WhatsApp,Accepted,250000,2025-10-01
IVN-00386-425,SME-2024-00386,2025-12-13,Loyalty Reward,Phone Call,Accepted,100000,2026-01-06
IVN-00387-426,SME-2024-00387,2026-02-08,Win-back Call,Email,Accepted,250000,2026-03-01
IVN-00389-427,SME-2024-00389,2025-09-20,Service Upgrade Offer,Visit,Declined,100000,2025-10-13
IVN-00389-428,SME-2024-00389,2026-04-21,Discount Package,Phone Call,Accepted,100000,2026-05-21
IVN-00390-429,SME-2024-00390,2026-04-11,Win-back Call,WhatsApp,Partial,250000,2026-04-27
IVN-00392-430,SME-2024-00392,2026-02-09,Retention Offer,Phone Call,Accepted,500000,2026-02-21
IVN-00392-431,SME-2024-00392,2025-12-15,Loyalty Reward,Email,Accepted,500000,2026-01-13
IVN-00393-432,SME-2024-00393,2025-10-04,Service Upgrade Offer,Visit,Accepted,500000,2025-10-15
IVN-00393-433,SME-2024-00393,2025-09-23,Service Upgrade Offer,Email,Declined,500000,2025-09-30
IVN-00394-434,SME-2024-00394,2026-02-19,Executive Check-in,Visit,Declined,250000,2026-03-15
IVN-00394-435,SME-2024-00394,2026-06-17,Loyalty Reward,Visit,Accepted,500000,2026-07-15
IVN-00394-436,SME-2024-00394,2025-09-12,Service Upgrade Offer,Email,No Response,100000,2025-09-24
IVN-00395-437,SME-2024-00395,2025-07-06,Service Upgrade Offer,Visit,Accepted,500000,2025-07-27
IVN-00396-438,SME-2024-00396,2025-07-12,Win-back Call,Visit,Partial,500000,2025-07-22
IVN-00396-439,SME-2024-00396,2025-08-16,Win-back Call,Email,Accepted,500000,2025-08-24
IVN-00396-440,SME-2024-00396,2025-10-22,Retention Offer,WhatsApp,Accepted,100000,2025-10-29
IVN-00396-441,SME-2024-00396,2026-02-16,Win-back Call,Email,Declined,100000,2026-03-01
IVN-00396-442,SME-2024-00396,2025-11-02,Service Upgrade Offer,Email,Declined,500000,2025-11-28
IVN-00397-443,SME-2024-00397,2026-03-11,Retention Offer,Visit,Accepted,100000,2026-04-08
IVN-00398-444,SME-2024-00398,2026-03-20,Executive Check-in,Visit,Accepted,100000,2026-04-19
IVN-00399-445,SME-2024-00399,2026-01-04,Service Upgrade Offer,Email,No Response,500000,2026-01-30
IVN-00399-446,SME-2024-00399,2026-05-19,Discount Package,Visit,Partial,100000,2026-05-30
IVN-00399-447,SME-2024-00399,2025-11-15,Win-back Call,Phone Call,Accepted,500000,2025-11-24
IVN-00399-448,SME-2024-00399,2025-12-24,Executive Check-in,WhatsApp,Accepted,250000,2026-01-21
IVN-00399-449,SME-2024-00399,2026-01-18,Service Upgrade Offer,WhatsApp,Accepted,100000,2026-02-10
IVN-00399-450,SME-2024-00399,2025-08-19,Discount Package,WhatsApp,Accepted,100000,2025-08-29
IVN-00401-451,SME-2024-00401,2026-02-09,Executive Check-in,Phone Call,Accepted,500000,2026-02-24
IVN-00401-452,SME-2024-00401,2025-12-24,Discount Package,WhatsApp,No Response,100000,2026-01-23
IVN-00402-453,SME-2024-00402,2025-07-22,Service Upgrade Offer,WhatsApp,Accepted,250000,2025-08-15
IVN-00402-454,SME-2024-00402,2026-03-04,Executive Check-in,WhatsApp,Accepted,100000,2026-03-15
IVN-00403-455,SME-2024-00403,2025-11-14,Retention Offer,Phone Call,No Response,500000,2025-12-08
IVN-00405-456,SME-2024-00405,2026-05-08,Discount Package,Email,Accepted,500000,2026-05-27
IVN-00405-457,SME-2024-00405,2025-08-18,Retention Offer,Phone Call,Accepted,100000,2025-09-11
IVN-00406-458,SME-2024-00406,2026-03-07,Retention Offer,WhatsApp,Partial,100000,2026-04-01
IVN-00407-459,SME-2024-00407,2025-09-07,Service Upgrade Offer,Phone Call,Accepted,250000,2025-10-01
IVN-00407-460,SME-2024-00407,2026-03-02,Executive Check-in,WhatsApp,Accepted,250000,2026-03-15
IVN-00407-461,SME-2024-00407,2025-09-24,Discount Package,Email,Accepted,500000,2025-10-24
IVN-00409-462,SME-2024-00409,2026-03-20,Loyalty Reward,Email,Accepted,500000,2026-04-04
IVN-00411-463,SME-2024-00411,2026-02-14,Retention Offer,WhatsApp,Accepted,500000,2026-03-01
IVN-00411-464,SME-2024-00411,2026-05-13,Win-back Call,Phone Call,Declined,100000,2026-06-12
IVN-00411-465,SME-2024-00411,2025-09-02,Loyalty Reward,Phone Call,Accepted,500000,2025-09-29
IVN-00415-466,SME-2024-00415,2026-05-13,Service Upgrade Offer,Visit,Declined,100000,2026-06-08
IVN-00415-467,SME-2024-00415,2026-01-12,Loyalty Reward,WhatsApp,Accepted,500000,2026-01-22
IVN-00415-468,SME-2024-00415,2025-12-17,Win-back Call,WhatsApp,Accepted,500000,2025-12-31
IVN-00416-469,SME-2024-00416,2026-04-22,Executive Check-in,Phone Call,Accepted,500000,2026-05-16
IVN-00417-470,SME-2024-00417,2026-05-23,Service Upgrade Offer,Visit,Accepted,250000,2026-06-17
IVN-00418-471,SME-2024-00418,2025-12-13,Discount Package,Phone Call,Declined,500000,2025-12-23
IVN-00419-472,SME-2024-00419,2025-10-17,Loyalty Reward,Phone Call,Accepted,100000,2025-11-01
IVN-00419-473,SME-2024-00419,2026-01-01,Service Upgrade Offer,WhatsApp,Accepted,100000,2026-01-19
IVN-00419-474,SME-2024-00419,2025-12-24,Executive Check-in,WhatsApp,Partial,500000,2026-01-01
IVN-00421-475,SME-2024-00421,2026-05-06,Retention Offer,Visit,Accepted,100000,2026-05-31
IVN-00421-476,SME-2024-00421,2025-12-06,Retention Offer,Phone Call,Partial,100000,2026-01-04
IVN-00424-477,SME-2024-00424,2025-09-05,Executive Check-in,WhatsApp,Accepted,500000,2025-09-17
IVN-00425-478,SME-2024-00425,2026-03-02,Win-back Call,Visit,Declined,500000,2026-03-14
IVN-00427-479,SME-2024-00427,2025-09-22,Executive Check-in,WhatsApp,Accepted,250000,2025-09-30
IVN-00427-480,SME-2024-00427,2025-07-04,Discount Package,WhatsApp,Accepted,500000,2025-07-28
IVN-00427-481,SME-2024-00427,2026-02-11,Win-back Call,WhatsApp,Accepted,500000,2026-02-26
IVN-00430-482,SME-2024-00430,2025-08-18,Win-back Call,Email,No Response,500000,2025-08-29
IVN-00430-483,SME-2024-00430,2026-05-04,Discount Package,WhatsApp,Accepted,100000,2026-05-19
IVN-00432-484,SME-2024-00432,2026-04-04,Retention Offer,Phone Call,Accepted,100000,2026-04-19
IVN-00433-485,SME-2024-00433,2026-01-04,Executive Check-in,Visit,Accepted,100000,2026-01-20
IVN-00433-486,SME-2024-00433,2026-05-22,Discount Package,Visit,Accepted,100000,2026-06-16
IVN-00434-487,SME-2024-00434,2025-12-15,Service Upgrade Offer,Email,Accepted,250000,2026-01-01
IVN-00434-488,SME-2024-00434,2025-12-17,Executive Check-in,Email,Partial,500000,2026-01-13
IVN-00435-489,SME-2024-00435,2025-09-07,Win-back Call,Phone Call,Accepted,500000,2025-10-03
IVN-00435-490,SME-2024-00435,2026-06-04,Win-back Call,Visit,Declined,250000,2026-06-29
IVN-00435-491,SME-2024-00435,2026-02-22,Retention Offer,Visit,Accepted,250000,2026-03-13
IVN-00438-492,SME-2024-00438,2025-11-15,Discount Package,WhatsApp,No Response,250000,2025-11-24
IVN-00439-493,SME-2024-00439,2025-07-07,Retention Offer,Visit,Accepted,500000,2025-08-02
IVN-00440-494,SME-2024-00440,2025-12-20,Executive Check-in,Email,Declined,500000,2026-01-13
IVN-00440-495,SME-2024-00440,2026-03-22,Win-back Call,Visit,Accepted,500000,2026-04-05
IVN-00440-496,SME-2024-00440,2026-03-07,Discount Package,Phone Call,Declined,100000,2026-04-03
IVN-00442-497,SME-2024-00442,2026-02-09,Executive Check-in,WhatsApp,Accepted,500000,2026-02-23
IVN-00445-498,SME-2024-00445,2025-09-08,Discount Package,Phone Call,No Response,500000,2025-09-22
IVN-00446-499,SME-2024-00446,2025-09-01,Service Upgrade Offer,Visit,No Response,250000,2025-09-10
IVN-00448-500,SME-2024-00448,2026-03-14,Retention Offer,WhatsApp,Accepted,500000,2026-04-09
IVN-00448-501,SME-2024-00448,2025-11-18,Retention Offer,Visit,Accepted,250000,2025-12-02
IVN-00449-502,SME-2024-00449,2026-03-20,Loyalty Reward,Phone Call,Declined,500000,2026-04-07
IVN-00449-503,SME-2024-00449,2025-07-23,Discount Package,WhatsApp,Declined,500000,2025-08-02
IVN-00450-504,SME-2024-00450,2025-10-06,Service Upgrade Offer,Phone Call,Accepted,500000,2025-10-31
IVN-00451-505,SME-2024-00451,2025-09-02,Win-back Call,Phone Call,Accepted,100000,2025-09-30
IVN-00451-506,SME-2024-00451,2025-12-20,Retention Offer,Visit,No Response,500000,2026-01-02
IVN-00452-507,SME-2024-00452,2025-07-16,Win-back Call,Email,Accepted,500000,2025-07-30
IVN-00455-508,SME-2024-00455,2025-08-19,Retention Offer,Phone Call,Accepted,250000,2025-09-07
IVN-00456-509,SME-2024-00456,2025-11-12,Loyalty Reward,Email,Accepted,100000,2025-11-22
IVN-00456-510,SME-2024-00456,2025-07-17,Loyalty Reward,Phone Call,Accepted,100000,2025-08-10
IVN-00457-511,SME-2024-00457,2026-06-05,Executive Check-in,Email,Accepted,500000,2026-06-24
IVN-00458-512,SME-2024-00458,2025-07-16,Retention Offer,Email,Declined,100000,2025-08-03
IVN-00458-513,SME-2024-00458,2026-06-18,Service Upgrade Offer,WhatsApp,Accepted,500000,2026-07-15
IVN-00459-514,SME-2024-00459,2025-07-01,Discount Package,Visit,Declined,500000,2025-07-17
IVN-00459-515,SME-2024-00459,2026-02-17,Win-back Call,Email,Partial,100000,2026-03-11
IVN-00460-516,SME-2024-00460,2026-04-05,Discount Package,Email,Accepted,250000,2026-04-17
IVN-00460-517,SME-2024-00460,2026-06-06,Service Upgrade Offer,Phone Call,Partial,100000,2026-06-15
IVN-00460-518,SME-2024-00460,2026-06-04,Loyalty Reward,Visit,Declined,250000,2026-06-25
IVN-00461-519,SME-2024-00461,2026-04-05,Win-back Call,Email,Partial,250000,2026-04-30
IVN-00462-520,SME-2024-00462,2026-01-24,Loyalty Reward,Email,Partial,250000,2026-02-06
IVN-00462-521,SME-2024-00462,2026-04-12,Retention Offer,Phone Call,Partial,100000,2026-05-09
IVN-00463-522,SME-2024-00463,2026-01-05,Win-back Call,Email,Accepted,500000,2026-01-20
IVN-00463-523,SME-2024-00463,2026-01-04,Retention Offer,WhatsApp,Declined,100000,2026-01-20
IVN-00463-524,SME-2024-00463,2025-12-03,Loyalty Reward,Visit,Declined,100000,2025-12-11
IVN-00463-525,SME-2024-00463,2026-04-15,Loyalty Reward,Visit,No Response,250000,2026-04-24
IVN-00463-526,SME-2024-00463,2026-04-12,Loyalty Reward,WhatsApp,Accepted,100000,2026-05-02
IVN-00464-527,SME-2024-00464,2026-03-02,Executive Check-in,WhatsApp,Accepted,100000,2026-03-28
IVN-00466-528,SME-2024-00466,2025-07-22,Retention Offer,Phone Call,Accepted,100000,2025-07-29
IVN-00467-529,SME-2024-00467,2026-05-21,Discount Package,WhatsApp,No Response,250000,2026-06-16
IVN-00467-530,SME-2024-00467,2026-05-11,Discount Package,Email,Accepted,250000,2026-05-30
